##########
# Recording 28253 start
# Format: >Millis Micros AccelX AccelY AccelZ RotX RotY RotZ<
# All multiplied x100000
##########
28289 28289148 1171 -537 97314 -42402 -42589 -938824
28292 28292884 585 -952 97582 -42948 -42360 -938889
28296 28296624 732 -854 97558 -43322 -42271 -939011
28300 28300360 537 -366 97851 -42983 -41969 -938987
28303 28304068 634 -463 98510 -42807 -41666 -939015
28307 28307792 903 -659 96923 -42793 -41802 -939005
28310 28311524 537 -830 98022 -43060 -41438 -938971
28314 28315252 927 -512 97314 -42845 -41511 -938939
28322 28323640 878 -512 98388 -42885 -41789 -938984
28326 28327372 366 -1171 98608 -43506 -41362 -939065
28331 28331108 512 -512 97802 -43273 -41172 -939050
28334 28334828 805 -1000 97045 -43572 -41085 -939079
28338 28338584 219 -805 97338 -43694 -40514 -939050
28342 28342328 1000 -878 97875 -43706 -40894 -939026
28345 28346080 1025 -1269 97460 -44396 -41264 -939237
28349 28349848 634 -463 97827 -44007 -41111 -939204
28353 28353568 1049 -512 97582 -43703 -41563 -939152
28358 28359152 927 -830 97778 -43555 -41797 -939157
28362 28362904 390 -732 98095 -43535 -41329 -939165
28365 28366628 390 -708 97436 -43390 -40914 -939126
28369 28370352 878 -1147 97290 -43730 -41177 -939152
28374 28374108 708 -1074 97192 -44081 -41194 -939236
28377 28377868 610 -952 97582 -44066 -41154 -939362
28381 28381600 439 -1000 97778 -44291 -40680 -939452
28385 28385340 439 -1196 97680 -44818 -40275 -939464
28388 28389084 1513 -683 96386 -44651 -41240 -939584
28392 28392828 1098 -1464 97924 -45431 -41688 -939597
28396 28397328 488 -854 97827 -45626 -41415 -939814
28400 28401068 903 -805 97900 -45639 -41667 -939845
28404 28404816 317 -537 97363 -45466 -41050 -939931
28407 28408532 683 -903 97119 -45491 -40989 -940087
28411 28412268 1220 -1464 97338 -46230 -41616 -940013
28416 28416036 878 -854 98144 -46201 -41595 -940102
28419 28419780 756 -463 97534 -45757 -41587 -940106
28423 28423500 854 -732 97021 -45685 -41680 -940192
28426 28427224 976 -878 98364 -45764 -41953 -940113
28430 28430968 537 -463 97753 -45231 -41762 -940208
28434 28435428 708 -244 97387 -44572 -41683 -940267
28438 28439152 756 -219 97558 -43837 -41745 -940351
28442 28442884 830 -659 97729 -43693 -41808 -940441
28445 28446612 512 -244 97656 -43059 -41598 -940481
28449 28450332 219 -1049 97607 -43556 -41038 -940512
28453 28454076 585 -195 98242 -42953 -41000 -940579
28456 28457804 1025 -854 97412 -43257 -41245 -940546
28461 28461552 756 -708 97729 -43383 -41205 -940554
28465 28465276 97 -854 97216 -43649 -40389 -940644
28468 28469000 927 -878 98071 -43995 -40672 -940642
28473 28473496 292 -415 97192 -43820 -40097 -940793
28476 28477212 268 -952 97509 -44099 -39414 -940876
28480 28480952 1440 -561 98461 -44014 -40262 -940788
28484 28484688 1025 -903 97045 -44339 -40619 -940796
28487 28488440 1098 -244 96874 -43867 -41041 -940787
28491 28492184 -24 -683 98046 -43915 -40089 -940800
28495 28495904 585 -585 97705 -43796 -39854 -940757
