##########
# Recording 341685 start
# Format: >Millis Micros AccelX AccelY AccelZ RotX RotY RotZ<
# All multiplied x100000
##########
341707 341707980 756 -1123 96557 -53136 -36223 -311661
341710 341711788 561 -708 97314 -53016 -36049 -311576
341714 341715560 708 -1123 97387 -53601 -36112 -311340
341719 341719332 634 -830 96997 -53717 -36003 -311377
341722 341723100 1293 -1342 97412 -54374 -36574 -311384
341726 341726896 439 -1098 97924 -54849 -36360 -311446
341730 341730680 219 -634 96386 -54620 -35864 -311451
341734 341734440 146 -24 97045 -53813 -35152 -311200
341739 341740132 488 -708 97143 -53987 -34670 -311182
341743 341743888 927 -830 96752 -54085 -35118 -311078
341746 341747652 1196 -1098 97509 -54422 -35896 -311176
341750 341751448 708 -1049 97265 -54811 -35919 -311165
341754 341755228 732 -805 96459 -54808 -36104 -311151
341758 341758996 439 -878 96728 -54808 -35666 -311189
341762 341762764 122 -830 97143 -54699 -35172 -311171
341766 341766544 1147 -561 97338 -54267 -35740 -311144
341770 341770320 878 -634 98144 -53884 -35919 -311200
341787 341787888 537 -1196 97656 -53963 -35614 -310710
341790 341791652 341 -903 97070 -53988 -35291 -310674
341794 341795412 1342 -878 97534 -54014 -36141 -310803
341798 341799196 463 -1074 97265 -54192 -35891 -310876
341801 341802956 -610 -1293 97265 -54709 -34383 -310969
341806 341806744 170 -170 96582 -53945 -33697 -311079
341810 341810500 1171 -732 97387 -53940 -34175 -310947
341814 341814280 952 -390 96874 -53504 -34522 -311007
341817 341818036 1318 24 97216 -52670 -35095 -311044
341821 341821800 634 -292 96826 -52216 -34846 -311091
341828 341829268 854 -1660 97558 -53302 -34561 -311145
341832 341833052 488 -756 98461 -53109 -34251 -311201
341836 341836808 805 -1220 97534 -53478 -34439 -311210
341839 341840592 927 -830 98266 -53444 -34565 -311242
341843 341844372 756 -1098 97265 -53575 -34661 -311236
341848 341848160 195 -903 97558 -53584 -34087 -311246
341851 341851940 854 -1098 97753 -53652 -34374 -311344
341855 341855728 512 -292 98242 -52833 -34367 -311409
341859 341859488 805 -1123 96411 -53000 -34608 -311483
341865 341865740 903 -952 97290 -52974 -34885 -311603
341868 341869496 805 -927 97192 -52968 -35320 -311530
341872 341873272 781 -1367 97387 -53304 -35673 -311744
341876 341877052 488 -976 98242 -53293 -35518 -311736
