##########
# Recording 101060 start
# Format: >Millis Micros AccelX AccelY AccelZ RotX RotY RotZ<
# All multiplied x100000
##########
101072 101072916 1293 -683 96923 -48558 -32206 -478439
101075 101076704 756 -878 97509 -48659 -32634 -478409
101080 101080492 1025 -463 98217 -48341 -33072 -478428
101084 101084284 -122 -927 96874 -48571 -32179 -478484
101087 101088072 512 -708 97753 -48443 -32043 -478411
101091 101091836 659 -805 97582 -48525 -32116 -478471
101095 101095604 634 -634 97558 -48310 -32279 -478508
101102 101103096 903 -1000 97216 -48537 -32777 -478339
101106 101106880 512 -1611 97656 -49423 -32832 -478357
101109 101110660 732 -708 97998 -49282 -33077 -478285
101113 101114424 97 -634 97778 -49108 -32599 -478334
101117 101118184 415 -439 97314 -48519 -32474 -478329
101121 101121932 585 -537 97265 -48189 -32434 -478342
101125 101125688 463 -952 97241 -48283 -32484 -478300
101129 101129452 1098 -1025 97167 -48519 -33119 -478387
101132 101133252 268 -830 96533 -48500 -32808 -478418
101136 101137020 634 -610 97949 -48138 -32933 -478456
101142 101142644 390 -805 97241 -48060 -32686 -478327
101145 101146416 195 -1171 97509 -48352 -32187 -478309
101149 101150200 878 -683 97534 -48171 -32546 -478287
101153 101153976 537 -952 97387 -48491 -32521 -478333
101156 101157740 292 -585 96874 -48126 -32309 -478303
101160 101161504 1123 -195 98193 -47438 -33037 -478235
101165 101165288 -73 -732 97265 -47349 -32297 -478218
101168 101169060 732 -1660 97167 -48583 -32415 -478353
101172 101172832 512 -781 97998 -48562 -32340 -478445
101176 101177352 170 -1074 97778 -48840 -31740 -478574
101180 101181128 73 -952 97216 -49047 -31189 -478727
101184 101184888 756 -732 97167 -48900 -31415 -478773
101188 101188652 756 -878 96826 -49035 -31568 -478774
101191 101192428 830 -463 96704 -48689 -31899 -478787
101195 101196192 195 -732 97436 -48623 -31587 -478677
101199 101199952 512 -659 96899 -48481 -31595 -478563
101202 101203716 1123 -1367 96582 -49210 -32134 -478656
101207 101207512 585 -683 96801 -49068 -32160 -478665
101211 101211272 805 -805 97607 -49204 -32380 -478625
101215 101215796 195 -366 97216 -48766 -31824 -478595
101219 101219544 683 -927 96801 -48917 -31990 -478550
101222 101223316 292 -927 97460 -48876 -31811 -478551
101226 101227080 708 -683 96899 -48768 -32039 -478570
101230 101230844 341 -415 97753 -48348 -31846 -478598
101233 101234588 1074 -1293 97021 -48893 -32462 -478513
101237 101238392 708 -756 97143 -48923 -32585 -478544
101241 101242152 854 -1025 97827 -49133 -32919 -478512
101244 101245940 659 -903 97436 -49178 -33084 -478750
101250 101250464 1098 -488 98291 -48831 -33502 -478714
101254 101254232 170 -1489 97729 -49718 -32977 -478719
101257 101258008 878 -952 96484 -49845 -33280 -478671
101261 101261792 537 -708 96777 -49669 -33190 -478648
101265 101265560 1220 -1000 97656 -49802 -33987 -478644
101268 101269360 390 -488 97070 -49331 -33795 -478511
101272 101273108 561 -1074 97216 -49576 -33752 -478589
101276 101276888 634 -854 97485 -49635 -33812 -478544
101279 101280680 830 -1220 97827 -50079 -34128 -478490
101283 101284472 659 -708 96923 -49893 -34354 -478271
101288 101288988 219 -463 96850 -49438 -33908 -478195
101292 101292760 561 -634 97753 -48837 -34202 -478141
101296 101296520 15893 9008 88134 -36799 -55068 -478196
101300 101300312 6518 -219 88671 -36329 -62108 -478224
101303 101304076 1660 -3955 97509 -40261 -62190 -477981
101307 101307872 683 -2368 95532 -42266 -61732 -477821
101311 101311644 1928 -292 96874 -41773 -62826 -477661
101314 101315428 512 -878 97753 -42071 -62281 -477534
101318 101319192 0 -903 96142 -42357 -61060 -477425
101322 101323556 1074 -463 96997 -42036 -61290 -477193
101326 101327340 195 -1049 96362 -42485 -60392 -477111
101330 101331120 122 -366 96630 -42187 -59381 -477066
101334 101334876 585 -1049 98217 -42653 -58948 -476991
101338 101338660 -341 -97 97705 -42048 -57448 -476973
101342 101342416 170 -610 98120 -41925 -56497 -476955
101345 101346180 268 -1049 97167 -42153 -55860 -476919
101349 101349960 48 -903 97509 -42439 -54797 -476822
101353 101353732 1000 -708 97753 -42435 -54822 -476924
101366 101367124 97 -781 97412 -42725 -53753 -476827
101369 101370888 659 -952 97656 -43002 -53566 -476726
101373 101374656 439 -854 97045 -43288 -52957 -476628
101378 101378412 1171 -854 97485 -43491 -53318 -476578
101382 101382200 781 -830 98217 -43523 -53111 -476506
101385 101385980 1196 -952 97827 -43841 -53573 -476341
101389 101389764 -366 -805 97094 -43715 -52138 -476351
101393 101393536 756 -195 97021 -43095 -52045 -476283
101396 101397304 830 -1049 96997 -43379 -51844 -476156
101400 101401084 683 -366 98120 -42887 -51662 -476046
101407 101408556 781 -1098 96850 -43154 -51872 -475909
101411 101412336 195 -878 97607 -43387 -51043 -475872
101415 101416112 903 -1953 98217 -43825 -51361 -475772
101419 101419896 2490 -1586 97021 -44638 -52851 -475598
101423 101423688 -561 -1782 96411 -45721 -51255 -475495
101427 101427472 -195 -2026 97924 -47138 -50139 -475353
101430 101431252 1464 -1245 96533 -47645 -50871 -475348
101434 101435048 537 -708 96679 -47438 -50421 -475422
101438 101438804 219 -976 97412 -47594 -49763 -475367
101444 101445044 -292 -1171 98461 -47956 -48483 -475483
101448 101448836 610 -903 97558 -47942 -48322 -475401
101451 101452600 195 -488 96704 -47564 -47572 -475426
101455 101456364 854 -878 97851 -47630 -47628 -475376
101459 101460156 122 -195 98217 -46853 -46850 -475395
101463 101463924 683 -952 97509 -46989 -46779 -475420
101467 101467692 97 -952 98852 -46951 -46181 -475427
101471 101471456 1098 -488 97631 -46618 -46581 -475198
101474 101475224 1245 -146 98095 -45870 -47118 -475199
101479 101479764 683 -610 97778 -45580 -47052 -475096
101482 101483520 610 -97 97973 -44761 -46755 -475124
101486 101487284 1098 -1293 97265 -45488 -47200 -475045
101490 101491088 537 -756 98046 -45406 -46922 -474940
101494 101494852 903 -830 96777 -45446 -47010 -474923
101497 101498632 732 -830 97582 -45400 -46987 -474856
101501 101502396 219 -610 97656 -45389 -46398 -474704
101506 101506156 1367 -952 97192 -45614 -47169 -474696
101509 101509952 512 -659 97143 -45523 -46683 -474641
101513 101513704 830 -659 97143 -45441 -46695 -474642
101517 101518220 366 -610 97851 -45260 -46055 -474649
101521 101521968 463 -195 97021 -44623 -45763 -474662
101525 101525728 585 -878 96948 -44726 -45426 -474566
101528 101529484 390 -341 96215 -44384 -44836 -474677
101532 101533220 317 -756 96289 -44375 -44403 -474781
101536 101536988 1513 -537 97338 -44107 -45160 -474791
101539 101540748 -317 -1049 97265 -44488 -43856 -474907
101543 101544528 878 -537 97338 -44158 -44174 -474832
101548 101548296 1074 -805 97973 -44223 -44500 -474841
101552 101552832 317 -561 97412 -44068 -44054 -474736
101556 101556588 1074 -708 98583 -44029 -44419 -474777
101560 101560368 366 -463 96142 -43738 -44153 -474773
101563 101564112 878 -854 97900 -43895 -44176 -474780
101567 101567884 1147 -732 98071 -43933 -44595 -474822
101571 101571664 268 -927 96679 -44043 -43983 -474671
101574 101575436 732 -732 97900 -43955 -43844 -474696
101578 101579200 219 -512 96704 -43730 -43283 -474674
101582 101582956 708 -1025 97338 -44055 -43199 -474560
101585 101586740 903 -195 97582 -43363 -43393 -474408
101591 101591264 122 -1513 97363 -44309 -42695 -474241
101594 101595040 439 -805 96655 -44266 -42239 -474266
101598 101598800 366 -1416 97338 -45073 -41721 -474114
101602 101602560 878 -830 97192 -45120 -41808 -474183
101605 101606324 1293 -976 97631 -45497 -42481 -474154
101609 101610112 1147 -1318 97119 -45995 -43042 -474173
101613 101613908 97 -537 97143 -45598 -42150 -474132
101616 101617652 659 -854 96752 -45735 -42081 -474146
101620 101621436 488 -488 98364 -45487 -41704 -474251
101625 101625916 0 -732 97167 -45329 -40890 -474300
101628 101629528 1269 -1293 97143 -46070 -41424 -474461
101633 101633324 512 -585 97265 -45786 -41273 -474521
101636 101637068 341 -1123 98046 -46179 -40683 -474400
101640 101640840 1025 -708 96630 -46109 -41088 -474364
101644 101644624 439 -854 97607 -46141 -40838 -474282
101647 101648380 366 -195 97558 -45530 -40485 -474264
101651 101652140 24 -1245 98266 -46073 -39772 -474289
